lr_pair,ligand_gene_symbol,WT_MEF.x,WT_BMDM.x,log2diff.x,receptor_gene_symbol,WT_MEF.y,WT_BMDM.y,log2diff.y,m1
Ccl7_Cxcr3,Ccl7,86.0203,1730.86,-4.31482650951646,Cxcr3,0,16.03,-4.09000652990382,0.22481997961264
App_Dcc,App,753.447,588.005,0.35713967380668,Dcc,0.0963907,0,0.132761995844016,0.224377677962664
Efnb2_Ephb4,Efnb2,39.9103,0.121411,5.18907708511886,Ephb4,30.25152134,0,4.96585451750209,0.223222567616769
Calml3_Kcnq1,Calml3,0,0,0,Kcnq1,0.0314709,0.202366,-0.221172998734116,0.221172998734116
Efna5_Epha3,Efna5,22.58558,0,4.55983317393317,Epha3,19.252,0,4.33999248424772,0.219840689685451
Dll1_Notch1,Dll1,0.3668435,0.0273601,0.411906118242816,Notch1,9.7253015,8.3703489,0.194843532050063,0.217062586192753
Omg_Ngfr,Omg,0,0.0901587,-0.12453817081601,Ngfr,0.247788,0.170996,0.0916366924342372,0.216174863250247
Calm3_Kcnq3,Calm3,242.03877,235.1302,0.0416039059739965,Kcnq3,0.0443394,0.178635,-0.174526363533804,0.216130269507801
Pth_Pth2r,Pth,0,0,0,Pth2r,0.159957,0,0.214071325148891,0.214071325148891
Pth2_Pth2r,Pth2,0,0,0,Pth2r,0.159957,0,0.214071325148891,0.214071325148891
Edn3_Kel,Edn3,0,0.159036,-0.212925377573784,Kel,0,0,0,0.212925377573784
Adam9_Itgav,Adam9,200.22786,107.87251,0.886190336489878,Itgav,80.8256866,37.33793514,1.09378116664574,0.207590830155862
Cst3_Lrp2,Cst3,1877.06711,1510.0595,0.313688146845644,Lrp2,0.5162717,0.0573732,0.520043626513603,0.206355479667959
Il3_Il2ra,Il3,0,0,0,Il2ra,0.0643422,0.227999,-0.206347315044311,0.206347315044311
Rbp4_Stra6,Rbp4,2.0752,1.66655,0.205705861234241,Stra6,0,0,0,0.205705861234241
Ccn2_Ntrk1,Ctcf,35.49992,41.0102,-0.20284635223128,Ntrk1,0,0,0,0.20284635223128
App_Lrp4,App,753.447,588.005,0.35713967380668,Lrp4,2.7865858,1.57419,0.556779076743472,0.199639402936792
Hras_Grin2d,Hras,162.63717,71.822991,1.16803459030578,Grin2d,1.27122,0.160161,0.969142430792133,0.198892159513647
Wnt1_Fzd10,Wnt1,0,0.084119,-0.116523125037838,Fzd10,0.0584664,0,0.0819754731029374,0.198498598140775
Crisp2_Catsper1,Crisp2,0.147474,0,0.198461464753662,Catsper1,0,0,0,0.198461464753662
Sema4c_Plxnb2,Sema4c,10.679084,13.24881012,-0.286914321788924,Plxnb2,157.23524,167.306732,-0.0890219503089647,0.197892371479959
Cntn6_Notch1,Cntn6,0,0,0,Notch1,9.7253015,8.3703489,0.194843532050063,0.194843532050063
Dll3_Notch1,Dll3,0,0,0,Notch1,9.7253015,8.3703489,0.194843532050063,0.194843532050063
Dll4_Notch1,Dll4,0,0,0,Notch1,9.7253015,8.3703489,0.194843532050063,0.194843532050063
Rbp3_Notch1,Rbp3,0,0,0,Notch1,9.7253015,8.3703489,0.194843532050063,0.194843532050063
