kegg_pair,Enzyme1,WT_MEF.x,WT_BMDM.x,log2diff.x,Enzyme2,WT_MEF.y,WT_BMDM.y,log2diff.y,m1
pnpla2-mogat1,pnpla2,18.008901,39.831441,-1.10300535828037,mogat1,0,0,0,1.10300535828037
pnpla2-pnliprp1,pnpla2,18.008901,39.831441,-1.10300535828037,pnliprp1,0,0,0,1.10300535828037
nme1-polr2j,nme1,202.58547,93.1298,1.11291116447798,polr2j,97.015004,96.336778,0.0100175919376211,1.10289357254036
lcat-pla2g10,lcat,3.33123,1.01759,1.1021437552285,pla2g10,0,0,0,1.1021437552285
lcat-pla2g2a,lcat,3.33123,1.01759,1.1021437552285,pla2g2a,0,0,0,1.1021437552285
lcat-pla2g2c,lcat,3.33123,1.01759,1.1021437552285,pla2g2c,0,0,0,1.1021437552285
lcat-pla2g2f,lcat,3.33123,1.01759,1.1021437552285,pla2g2f,0,0,0,1.1021437552285
lcat-pla2g4d,lcat,3.33123,1.01759,1.1021437552285,pla2g4d,0,0,0,1.1021437552285
lcat-pla2g4f,lcat,3.33123,1.01759,1.1021437552285,pla2g4f,0,0,0,1.1021437552285
aldoa-dera,aldoa,0.518349,0.922495,-0.340476406614416,dera,22.2816998,62.2801653,-1.44255697496501,1.10208056835059
car5a-car7,car5a,0.17669,0.096477,0.101858741210142,car7,0.0586248,1.116992,-0.999824460539525,1.10168320174967
pold3-pold4,pold3,14.8333176,40.70310109,-1.39719108896357,pold4,22.5935,27.967,-0.29602082559791,1.10117026336566
pde6d-gmpr,pde6d,51.809679,37.048419,0.472965864462107,gmpr,9.22173,14.792663,-0.627615073557022,1.10058093801913
cdipt-mtmr6,cdipt,176.60144,138.44715,0.348924830085942,mtmr6,41.5179,70.5856,-0.751599064818333,1.10052389490427
gpat2-lclat1,gpat2,0.182735,0.227011,-0.0530213186087786,lclat1,23.880466,11.038976,1.04730082084852,1.1003221394573
rdh5-awat2,rdh5,6.088006,1.778543,1.35105125790558,awat2,0.493662,0.255203,0.250933012807907,1.10011824509767
ftcd-mthfd1,ftcd,0.101457,0.209966,-0.135553333913917,mthfd1,40.27469,20.15819078,0.964041110568026,1.09959444448194
mthfd1-ftcd,mthfd1,40.27469,20.15819078,0.964041110568026,ftcd,0.101457,0.209966,-0.135553333913917,1.09959444448194
pnp2-tk2,pnp2,0.0891249,2.67187,-1.75334557135062,tk2,11.994993,19.446019,-0.653864109814012,1.09948146153661
fmo1-fmo6,fmo1,3.09442,0.9108193,1.0994677458722,fmo6,0,0,0,1.0994677458722
fmo1-fmo9,fmo1,3.09442,0.9108193,1.0994677458722,fmo9,0,0,0,1.0994677458722
fmo1-gm4846,fmo1,3.09442,0.9108193,1.0994677458722,gm4846,0,0,0,1.0994677458722
cyp4a12a-cyp4f13,cyp4a12a,0.0576549,0,0.0808689702922795,cyp4f13,5.568814,12.307916,-1.01857984458035,1.09944881487263
akr1c18-srd5a1,akr1c18,3.77829,0,2.25649441529813,srd5a1,4.75113,1.57893,1.15707283461067,1.09942158068746
srd5a1-akr1c18,srd5a1,4.75113,1.57893,1.15707283461067,akr1c18,3.77829,0,2.25649441529813,1.09942158068746
cyp19a1-srd5a1,cyp19a1,0.0407799,0,0.0576650054750977,srd5a1,4.75113,1.57893,1.15707283461067,1.09940782913557
agpat3-lpin2,agpat3,63.419543,58.33144498,0.118701506949105,lpin2,11.7252139,24.1096653,-0.980552891314049,1.09925439826315
pde6d-nt5c2,pde6d,51.809679,37.048419,0.472965864462107,nt5c2,20.11352,31.59023,-0.626272411979716,1.09923827644182
plb1-cyp2c44,plb1,1.277601309,0.2043748,0.919230800404245,cyp2c44,0,0.132818,-0.179916094531094,1.09914689493534
cyp2c68-cyp4f13,cyp2c68,0.0574297,0,0.0805617533379922,cyp4f13,5.568814,12.307916,-1.01857984458035,1.09914159791834
nt5c-nt5c3,nt5c,128.83258,77.03822,0.734399680058119,nt5c3,20.6936504,26.922125,-0.364135904983262,1.09853558504138
ugt2b5-uxs1,ugt2b5,0.0529454,0.109563,-0.0755609567868369,uxs1,71.638891,34.75357,1.02265487430706,1.0982158310939
ak2-rrm2,ak2,101.6078,79.5415,0.34933615903522,rrm2,210.52238,76.556556,1.44748966968914,1.09815351065392
dgki-pld3,dgki,0.139063778,0.0325969,0.14157135606032,pld3,194.134539,377.444984,-0.955614426387472,1.09718578244779
plcd4-inpp5k,plcd4,0.931819187,0.39615,0.468506117581553,inpp5k,14.228622,22.545209,-0.628648126977765,1.09715424455932
